valor;descricao;local;bairro/cidade;quarto-min;quarto-max;garagem-min;garagem-max;banheiro-min;banheiro-max;area(m2)-min;area(m2)-max;iptu;condominio;novidade;suite;acabamento
7500000;Jardim Botânico, linda casa com vista para Lagoa, Mar e abraçada pelo cristo Redentor, Segurança na rua,, 24 horas, assim descrita: 1º piso por hall de entrada, sala de estar e jan...;Rua Ministro Artur Ribeiro; Jardim Botânico;3;3;2;2;3;3;461;461;0;0;Nenhuma;0;0
2499000;Casa Duplex, 6 Quartos Em Área Nobre da Urca, Vista Cinematográfica, Pão de Açúcar e Cristo Redentor! ...1º Pavimento: Sala em 2 Ambientes , 1 Quarto , Cozinha , Área de Serviço, 2...;Rua Cândido Gaffree; Urca;6;6;2;2;6;6;166;166;416;0;Nenhuma;0;0
350000;IMPERDÍVEL!!! CASA DE PRIMEIRA LOCAÇÃO   COM 3 QUARTOS , PRÓXIMO DE COMÉRCIOS   VALOR SOMENTE À VISTA R$ 350.00 MIL REAIS   AGENDE SUA VISITA AO LOCAL!!!   (ZAP)...;Campo Grande; Rio de Janeiro;3;3;0;0;4;4;140;140;100;50;Nenhuma;0;0
350000;EXCELENTE CASA PRONTA PARA MORAR.  COM ACABAMENTO DE QUALIDADE.  ÔNIBUS NA PORTA, E TODOS OS COMÉRCIOS NA FRENTE DO EMPREENDIMENTO, COMO HORTIFRUTI, CASA DE RAÇÃO, LOJA DE MATERIAL...;Campo Grande; Rio de Janeiro;3;3;1;1;4;4;180;180;0;0;Nenhuma;0;0
180000;CASA LOCALIZADA EM CAMPO GRANDE RJ , PROXIMO A ESTRADA DO CABUÇU.   EXCELENTE CASA COM 2 QUARTOS , COZINHA, BANHEIRO, GARAGEM , QUINTAL NOS FUNDOS E CHURRASQUEIRA .  PERTO DOS COMÉ...;Campo Grande; Rio de Janeiro;2;2;1;1;1;1;110;110;0;0;Nenhuma;0;0
250000;Olá !!! Você que busca aquela casa gigante com quintal , garagem , independente , laje livre , frente de rua , com possibilidade de ampliar , em um bairro top , em uma rua super tr...;Rua Abil da Silva; Campo Grande;3;3;2;2;2;2;160;160;0;0;Nenhuma;0;0
179999;A casa está localizado no bairro Campo Grande tem 110 metros quadrados com 2 quartos e 1 banheiro Possui espaço gourmet.Churrasqueira para você aproveitar nos momentos de descontra...;Campo Grande; Rio de Janeiro;2;2;1;1;1;1;110;110;0;0;Nenhuma;0;0
400000;Casa Grande, confortável e com Boa área de laser.;Rua Mercedes Coelho; Santa Cruz;4;4;5;5;3;3;170;170;0;20;Nenhuma;0;0
200000;Olá !!! Você que busca uma casa independente linear , frente de rua , com , aquela garagem coberta top , em rua residencial , próximo do comercio e condução , você acaba de achar a...;Rua Luísa Barata; Realengo;2;2;2;2;2;2;100;100;0;0;Nenhuma;0;0
170000;Olá !!! Você que busca uma casa independente , frente de rua , com terraço , possibilidade de ampliar , vaga na garagem , sem taxa de condomínio , com farta opção de comercio e con...;Rua Palmeira das Missões; Campo Grande;2;2;1;1;2;2;120;120;0;0;Nenhuma;0;0
