valor;descricao;local;bairro/cidade;quartos;garagem;banheiro;area(m2);iptu;condominio;novidade;suite;acabamento
120000;Casa com 03 dormitórios, sendo 01 suíte, 02 salas, banheiro e 02 vagas de garagem cobertas.;GENIPABU; Extremoz;3;2;2;115;28577;0;Nenhuma;1;0
198000;A casa no bairro Camurupim com ótimo acesso ao centro de Caucaia, Fortaleza e nossas praias. Essa casa possuí 80 m² muito bem distribuídos em:  3 quartos, sendo uma suíte Banheiro...;Rua Luís da Cunha Lima; Camurupim;3;2;2;80;0;0;Nenhuma;1;0
360000;Casa para venda em Nova Votorantim de 153.00m² com 1 Suite e 3 Garagens;Nova Votorantim; Votorantim;1;3;3;153;0;0;Nenhuma;1;0
225000;Casa com 3 dormitórios, sendo 2 suítes, 3 salas, 3 banheiros e 1 vaga de garagem.;Amarante; São Gonçalo do Amarante;3;1;3;137;775;0;Nenhuma;1;0
550000;Casa Residencial, no bairro PARQUE SUZANO, próximo ao SUZANO SHOPPING, terreno 6,25 x 30,00 = 187,50 m², com 141,19 m² de área construída, com 3 dormitórios (sendo 1 suíte), sala,...;Rua Otávio Miguel da Silva; Parque Suzano;3;0;2;141;140;0;Super destaque;1;0
120000;CASA TÉRREA COM BOM ACABAMENTO, 02 QUARTOS, ÁREA DE SERVIÇO, TERRAÇO, SALA, WC SOCIAL, COZINHA AMERICANA, MUITO CONSERVADA, TODA GRADEADA, ACESSO A RUA ASFALTADA, PRÓXIMO A TRANSPO...;Janga; Paulista;2;1;1;50;0;0;Super destaque;0;0
6500000;Imóvel todo reformado, parte eletrica, hidráulica. Em 1.120m² de terreno foi contruído 400m² , distribuidos em 3 suítes, sendo a master com closet de mesmo tamanho, 4 salas amplas...;Rua Doutor Manoel Maria Tourinho; Pacaembu;3;9;3;400;0;0;Super destaque;1;0
330000;Bem arejada e espaçosa!  Área útil 150 M² 2 Dormitórios Banheiro Cozinha Sala dois ambientes Vaga de garagem  Á VISTA  Próximo: Supermercados, Escolas, Transporte Publico, Centro e...;Rua Ribeirão Pires; Cidade Edson;2;2;1;150;0;0;Nenhuma;0;0
420000;Casa térrea, 155 metros de construção, 180 metros terreno, garagem 2 carros, 3 quartos, suite, 4 banheiro, edícula, sala Americana, documentação ok para financiamento se preferir,...;Vila Barcelona; Sorocaba;3;2;4;180;0;0;Nenhuma;1;0
215000;Realize seu sonho da casa própria!  Entrada a partir de R$ 43.000 Parcelas de acordo com sua renda  Casa com 3 quartos (1 suíte com closet), banheiro, sala, cozinha, área gourmet,...;Rua Araioses; SIM;3;2;1;114;0;0;Nenhuma;1;0
159009;IMÓVEL RETOMADO DE BANCO E OCUPADO  (ASSESSÓRIA GRATUITA NA CORRETAGEM)  MR Imóveis   Marcos Rocha   Vende    Aceito Carta de Crédito e FGTS. Imóvel retomado de Agente financeiro....;Rua Ibitioca; Parque Visconde de Ururai;3;2;2;198;0;0;Nenhuma;0;0
382000;Vendo linda casa.   3 Dormitórios sendo 2 suítes uma Master com banheira.  Sala de estar sala de jantar,  Cozinha grande,  Área de serviço,  Varanda grande,  Quintal de 130 metros...;Jardim America; Taubaté;3;8;2;250;0;0;Nenhuma;1;0
450000;IMÓVEL COM 4 DORMITÓRIOS, SENDO 2 SUÍTES, 2 BANHEIROS, SALA, COPA, COZINHA, EDÍCULA, ESPAÇO GOURMET COM CHURRASQUEIRA, FOGÃO E FORNO A LENHA, GARAGEM PARA 3 CARROS.  IMÓVEL POSSUI...;Jardim Copaíba; Sorocaba;4;3;2;161;0;0;Nenhuma;1;0
399000;Excelente casa para renda precisando de alguns acabamentos na rua Mário Barreto Veloso paralela com José do patrocínio. posto de saúde terreno 5 x 25 salão 40 m² 01 banheiro entrad...;Rua Mário Barreto; Veloso;5;3;6;375;2000;0;Destaque;0;0
310000;Excelente localização! Casa a 100 metros da praia (primeira casa da rua). Bairro tranquilo, ao lado do comércio com supermercados e facil acesso as areas turisticas da ilha. Amplo...;Rua Castro Alves; Balneário Adriana;2;3;3;180;980;0;Destaque;0;0
370000;Casa a venda super bem localizada, próxima ao Spazio Bromélias , mercado, padaria, escolas, posto de combustível, farmácia, academia e tudo o que você precisa! Possui 3 dormitórios...;Jardim Eugênia; Bauru;3;5;3;340;0;0;Nenhuma;0;0
280000;Ótima casa com 178 m² de rea útil, garagem para 4 carros, churrasqueira, rea de serviço, sala de estar, escritório, 2 dormitórios sendo 2 suítes, quintal e cozinha.;Rua Bertha Lutz; Dom Bernardo Jose Mielle;2;2;4;178;44;0;Nenhuma;1;0
280000;Vazio;Conjunto Habitacional Isaura Pitta Garms; Bauru;3;2;2;200;0;0;Destaque;0;0
395000;3 dormitórios sendo 1 suite completa em armrios , sala com 2 ambientes e com jd inverno inteira com porcelanato e ferragens sassazak, lavanderia , are de churrasco, banheiro e gara...;Rua Amiro Barbosa; Esplanada da Estacao;3;4;4;194;0;0;Nenhuma;1;1
240000;"Casa novinha, no Parque São Bento em Sorocaba, próximo da Av. Gualberto vieira.  74 m2 bem dividida; 2 quartos sendo 1 suite; Sala de estar; Cozinha; Banheiro; Lavanderia   super e...";Rua Hidetoshi Yoshimoto; Parque Sao Bento;2;2;2;74;0;0;Destaque;1;0
220000;Casas a venda no Novo Aleixo próximo do Chapéu Goiano a 04 mn da Natan Xavier 02 quartos, 01 suíte R$220.000 03 quartos, 01 suíte R$240.000  Todas com piscina e garagem para 02 car...;Novo Aleixo; Manaus;2;2;2;30;0;0;Nenhuma;1;0
370000;Casa 3QTS Alto Padrão com Churrasqueira   R$ 370.000,00    Lote 180 mts, casa 127 mts   Toda no porcelanato   3/4 sendo uma suíte   Sala pé direito duplo   Cozinha   Banheiro socia...;Rua MDV 3; Moinho dos Ventos;3;3;1;127;0;0;Nenhuma;1;1
320000;Tá incluso : terraço, construção ,mão de obra ,matérias utilizados e etc...  * 3 dormitórios  ( sendo 1 suíte )  * 1 banheiro social  * Sala  * Cozinha (estilo americana ) * Área g...;Rua Maranhão; Centro;3;2;1;600;0;0;Nenhuma;1;0
320000;"EXCELENTE IMÓVEL PRÓXIMO A AV. COMENDADOR CASA ACONCHEGANTE E SEGURA    2 DORMITÓRIOS SENDO 1 SUÍTE COM ARMÁRIO E AR CONDICIONADO;    SALA COM JD. DE INVERNO;    COZINHA AMPLA E ÁR...";Jardim Solange; Bauru;2;3;2;125;0;0;Nenhuma;1;0
160000;Casa com 3 quartos sendo 1 suite1 banheiro social1 sala1 cozinha1 varanda1 área de serviço  ;Parque do Sol; Campo Grande;3;2;2;72;0;0;Nenhuma;1;0
