valor;descricao;local;bairro/cidade;quartos;garagem;banheiro;area(m2);iptu;condominio;novidade;suite;academia;varanda;transporte;salao;planejado
380000;Apartamento a venda em Americana   SP   Bairro Sao Vito Apartamento sol da manhã com 3 dormitórios(1 suite)2 com arms planejados, sala 2 ambientes com painel tv fixo, sacada, cozin...;Vila Belvedere; Americana;3;2;2;70;0;380;Nenhuma;1;0;1;0;0;1
276000;ACEITA FINANCIAMENTO / NÃO ACEITA PERMUTA!  2 dormitórios, sendo 1 suíte, Banheiro, Sala dois ambientes, Cozinha, Área de serviço, Varanda, 2 vagas de garagem, sendo cobertas.  Con...;Avenida Gisele Constantino; Parque Bela Vista;2;2;2;55;150;312;Nenhuma;1;0;1;0;0;0
350000;3 dorms: piso rústico............... 1 suíte: piso frio, azdt............... 1 sala: piso porcelanato, 02 ambientes............... 1 cozinha: piso frio, azdt................... 1 á...;Parque Novo Oratorio; Santo André;3;1;2;83;0;0;Nenhuma;1;0;0;0;0;0
460000;Excelente apartamento 03 dormitórios, sendo 01 suite, com dependência de empregada, 01 vaga de garagem, localizado no Macuco em Santos , com lazer , sauna, salão de festas ,salão d...;Praça Palmares; Macuco;3;1;3;90;200;690;Nenhuma;1;0;0;0;1;0
450000;Aceita financiamento e FGTS.  Apartamento em Barueri com piso com assoalho de madeira e box de vidro nos banheiros.  Condomínio completo com: Piscina, academia, playground, salão d...;Avenida Trindade; Bethaville I;2;1;2;57;180;500;Nenhuma;0;1;0;0;1;0
535000;Apartamento localizado a 700 Ms do METRÔ Santana no decimo quarto andar Contendo 3 dormitórios sendo um suíte com armários embutidos e Piso madeira maciça Indusparquet , sala ampla...;Rua Doutor Olavo Egídio; Santana;3;1;3;85;2400;793;Destaque;1;0;0;0;0;0
750000;Village AlphavilleApartamento com ótima localizaçãoCom 97m², 2 dormitórios sendo 1 suíte, living para 3 ambientes e 2 vagasVenha conhecer;Alphaville; Barueri;2;2;2;97;35;560;Nenhuma;1;0;0;0;0;0
250000;Apartamento novo pronto para morar  2 dormitorios sendo 1 suite , sacada , elevador 1 vaga de garagem proximo a farmacia , supermercados , shoppings  Permuta por terreno em Condomi...;Jardim Macedo; Ribeirão Preto;2;1;2;75;0;250;Nenhuma;1;0;1;0;0;0
433000;Lindo empreendimento no bairro Aviação, a poucos metros da PRAIA. Apartamento de 02 dormitórios sendo 01 suíte, sala dois ambientes com Sacada Gourmet e 02 vagas de garagem demarca...;Rua Senador Nilo Coelho; Aviação;2;2;2;74;0;0;Nenhuma;1;0;1;1;0;0
990000;APARTAMENTO RETROFIT COM ÓTIMA LOCALIZAÇÃO NO GONZAGA!! PÉ NA AREIA  3 DORMITÓRIOS, 3 BANHEIROS E 1 SUITE: Sendo os quartos amplos e espaçosos! Sala com espaço para 3 ambientes. Al...;Gonzaga; Santos;3;1;3;166;185;1560;Super destaque;1;0;0;0;0;0
