objectid,cl,logradouro,codbairro,bairro,total_transações,uso,média_percentual_transferido,média_área_terreno,média_valor_transação,média_valor_imóvel,principal_transação_mercado,ano_transação
1290738,211896,RUA WILSON GRAY (ATOR),143,Santíssimo                ,10,TERRITORIAL,100,126,23522.39,23522.39,COMPRA E VENDA,2021
1290739,215772,RUA G PAA 11663/PAL 45187,143,Santíssimo                ,2,TERRITORIAL,50,165,15246.02,30492.04,COMPRA E VENDA,2021
1290740,034124,ETR DO PEDREGOSO,144,Campo Grande,8,TERRITORIAL,100,131.625,50345.47375,50345.47375,COMPRA E VENDA,2021
1290741,130237,RUA C PAL 19789,144,Campo Grande,5,TERRITORIAL,90,367.8,76129.998,84593.994,COMPRA E VENDA,2021
1290742,130286,RUA H PAL 19789,144,Campo Grande,2,TERRITORIAL,100,360,82800.01,82800.01,COMPRA E VENDA,2021
1290743,137208,RUA JOSE SOARES FERREIRA,144,Campo Grande,3,TERRITORIAL,100,225,44444.39,44444.39,COMPRA E VENDA,2021
1290744,173468,RUA A PAL 32309,144,Campo Grande,3,TERRITORIAL,100,120,14798.78,14798.78,COMPRA E VENDA,2021
1290745,198770,RUA MARIA FRANCISCA DOS SANTOS,144,Campo Grande,2,TERRITORIAL,100,232,57023.375,57023.375,COMPRA E VENDA,2021
1290746,208264,RUA EDMAR MOREL,144,Campo Grande,2,TERRITORIAL,100,128,31531.49,31531.49,COMPRA E VENDA,2021
1290747,211326,RUA JOAO MARQUES FERREIRA,144,Campo Grande,4,TERRITORIAL,100,148.5,39890.5675,39890.5675,COMPRA E VENDA,2021
1290748,222059,RUA ALDO MALAGOLI,144,Campo Grande,4,TERRITORIAL,100,157,41183.995,41183.995,COMPRA E VENDA,2021
1290749,222117,RUA VIRGINIA ARTIGAS,144,Campo Grande,5,TERRITORIAL,100,128,31531.49,31531.49,COMPRA E VENDA,2021
1290750,200741,RUA DO CAQUI,147,Cosmos                    ,2,TERRITORIAL,100,153,35623.36,35623.36,COMPRA E VENDA,2021
1290751,015214,ETR CABUCU DE BAIXO,151,Guaratiba                 ,21,TERRITORIAL,96.687142,4195.095238,69418.037142,120385.020476,COMPRA E VENDA,2021
1290752,016253,ETR CAPOEIRA GRANDE,151,Guaratiba                 ,5,TERRITORIAL,100,354.2,84766.48,84766.48,COMPRA E VENDA,2021
1290753,034058,ETR DA PEDRA,151,Guaratiba                 ,2,TERRITORIAL,100,496.5,87476.405,87476.405,COMPRA E VENDA,2021
1290754,125724,RUA 36 PAA 6172/PAL 18529,151,Guaratiba                 ,7,TERRITORIAL,100,322,39441.601428,39441.601428,COMPRA E VENDA,2021
1290755,126672,RUA BIDU SAYAO (CANTORA LIRICA),151,Guaratiba                 ,2,TERRITORIAL,100,304,36828,36828,COMPRA E VENDA,2021
1290756,126698,RUA NOSSOS MOMENTOS,151,Guaratiba                 ,6,TERRITORIAL,100,300,27181.44,27181.44,COMPRA E VENDA,2021
1290757,125518,RUA PEDRA BELA,153,Pedra de Guaratiba        ,2,TERRITORIAL,100,360,70141.5,70141.5,COMPRA E VENDA,2021
1290758,194498,RUA ADORACAO DA VILA DO JOAO,157,Maré                      ,2,TERRITORIAL,100,1139.5,92879.605,92879.605,COMPRA E VENDA,2021
1290759,063883,RUA SAO LUIZ GONZAGA,010,São Cristóvão             ,2,TERRITORIAL,100,6381.5,496298.875,496298.875,COMPRA E VENDA,2022
1290760,089748,RUA PREF JOAO FELIPE,014,Santa Teresa              ,3,TERRITORIAL,100,6923.333333,293999.993333,293999.993333,COMPRA E VENDA,2022
1290761,015156,ETR DOS CABOCLOS,144,Campo Grande,3,TERRITORIAL,25,1547,109370,437480,COMPRA E VENDA,2023
1290762,015735,ETR DO CAMPINHO,144,Campo Grande,2,TERRITORIAL,100,1138,473340.83,473340.83,COMPRA E VENDA,2023
1290763,017152,AVN CESARIO DE MELO,144,Campo Grande,3,TERRITORIAL,100,650.666666,243545.763333,243545.763333,COMPRA E VENDA,2023
1290764,024133,ETR DO GUANDU,144,Campo Grande,2,TERRITORIAL,100,80794,3139457.07,3139457.07,COMPRA E VENDA,2023
1290765,027078,RUA JICARA,144,Campo Grande,2,TERRITORIAL,100,799.5,278217.2,278217.2,COMPRA E VENDA,2023
1290766,034124,ETR DO PEDREGOSO,144,Campo Grande,7,TERRITORIAL,100,170.285714,75383.837142,75383.837142,COMPRA E VENDA,2023
1290767,130245,RUA D PAL 19789,144,Campo Grande,2,TERRITORIAL,100,535.5,128905.005,128905.005,COMPRA E VENDA,2023
